    target  danceability  energy  key  loudness  mode  speechiness  acousticness  instrumentalness  liveness  valence    tempo            type                      id                                   uri                                                track_href                                                      analysis_url  duration_ms  time_signature
36       0         0.512   0.580    3    -6.658     0       0.0290      0.621000          0.000017    0.5130   0.3030  159.847  audio_features  4TCc369aRPRubv1m8R1TBG  spotify:track:4TCc369aRPRubv1m8R1TBG  https://api.spotify.com/v1/tracks/4TCc369aRPRubv1m8R1TBG  https://api.spotify.com/v1/audio-analysis/4TCc369aRPRubv1m8R1TBG       178147               3
37       0         0.743   0.786   11    -3.982     1       0.0283      0.053900          0.000000    0.1180   0.8880  107.978  audio_features  1zmiEGRXRvKkQCYDA05aZa  spotify:track:1zmiEGRXRvKkQCYDA05aZa  https://api.spotify.com/v1/tracks/1zmiEGRXRvKkQCYDA05aZa  https://api.spotify.com/v1/audio-analysis/1zmiEGRXRvKkQCYDA05aZa       190983               4
38       0         0.631   0.874    3    -4.625     1       0.0499      0.013100          0.000000    0.3080   0.8590  120.006  audio_features  3gcZsNuGubRdLw3xKHMyvg  spotify:track:3gcZsNuGubRdLw3xKHMyvg  https://api.spotify.com/v1/tracks/3gcZsNuGubRdLw3xKHMyvg  https://api.spotify.com/v1/audio-analysis/3gcZsNuGubRdLw3xKHMyvg       195669               4
39       0         0.712   0.458    2    -8.518     1       0.0253      0.674000          0.000030    0.3580   0.3340   72.543  audio_features  5xmPrNB0WAImdWLlFuOHi5  spotify:track:5xmPrNB0WAImdWLlFuOHi5  https://api.spotify.com/v1/tracks/5xmPrNB0WAImdWLlFuOHi5  https://api.spotify.com/v1/audio-analysis/5xmPrNB0WAImdWLlFuOHi5       174625               4
40       0         0.790   0.646    5    -5.878     1       0.0447      0.132000          0.000000    0.2950   0.6410  138.047  audio_features  5Kpg1A7BOHpBbaT3H3xqd3  spotify:track:5Kpg1A7BOHpBbaT3H3xqd3  https://api.spotify.com/v1/tracks/5Kpg1A7BOHpBbaT3H3xqd3  https://api.spotify.com/v1/audio-analysis/5Kpg1A7BOHpBbaT3H3xqd3       214707               4
41       0         0.709   0.485    1   -10.082     1       0.0336      0.270000          0.000000    0.3720   0.7290  104.853  audio_features  3s7dDLvacU9tNwDuWN14nQ  spotify:track:3s7dDLvacU9tNwDuWN14nQ  https://api.spotify.com/v1/tracks/3s7dDLvacU9tNwDuWN14nQ  https://api.spotify.com/v1/audio-analysis/3s7dDLvacU9tNwDuWN14nQ       105504               4
42       0         0.626   0.647    5    -7.317     1       0.0888      0.308000          0.000365    0.4110   0.6320   81.492  audio_features  0H9oUCT2I33wfiY5t0Ywom  spotify:track:0H9oUCT2I33wfiY5t0Ywom  https://api.spotify.com/v1/tracks/0H9oUCT2I33wfiY5t0Ywom  https://api.spotify.com/v1/audio-analysis/0H9oUCT2I33wfiY5t0Ywom       231166               4
43       0         0.768   0.690   10    -7.082     0       0.1750      0.124000          0.105000    0.2370   0.5380   95.039  audio_features  26Kahixb5MQeGMyF7uu46M  spotify:track:26Kahixb5MQeGMyF7uu46M  https://api.spotify.com/v1/tracks/26Kahixb5MQeGMyF7uu46M  https://api.spotify.com/v1/audio-analysis/26Kahixb5MQeGMyF7uu46M       127000               4
44       0         0.707   0.549   11    -7.094     0       0.0535      0.676000          0.000000    0.3740   0.5050  102.473  audio_features  0K6erVI5E0g3SI93uVFBQv  spotify:track:0K6erVI5E0g3SI93uVFBQv  https://api.spotify.com/v1/tracks/0K6erVI5E0g3SI93uVFBQv  https://api.spotify.com/v1/audio-analysis/0K6erVI5E0g3SI93uVFBQv       156000               4
45       0         0.749   0.359    2    -8.912     1       0.0300      0.646000          0.000009    0.1890   0.3820  107.051  audio_features  3mdozIjA5K93lYVEdC1uHg  spotify:track:3mdozIjA5K93lYVEdC1uHg  https://api.spotify.com/v1/tracks/3mdozIjA5K93lYVEdC1uHg  https://api.spotify.com/v1/audio-analysis/3mdozIjA5K93lYVEdC1uHg       168000               3
46       0         0.433   0.596    7    -6.841     1       0.0559      0.347000          0.000002    0.2270   0.7920  204.975  audio_features  3nodUjzE1t82uuPKA9qJbC  spotify:track:3nodUjzE1t82uuPKA9qJbC  https://api.spotify.com/v1/tracks/3nodUjzE1t82uuPKA9qJbC  https://api.spotify.com/v1/audio-analysis/3nodUjzE1t82uuPKA9qJbC       101488               4
47       0         0.622   0.322    8   -10.109     1       0.0291      0.899000          0.000030    0.2180   0.3010  143.926  audio_features  1BUWw6AU5Y3z8AMjtp4zCP  spotify:track:1BUWw6AU5Y3z8AMjtp4zCP  https://api.spotify.com/v1/tracks/1BUWw6AU5Y3z8AMjtp4zCP  https://api.spotify.com/v1/audio-analysis/1BUWw6AU5Y3z8AMjtp4zCP       167917               4
48       0         0.656   0.795    9    -5.205     1       0.0523      0.299000          0.000297    0.0975   0.4340   82.027  audio_features  3D3JQJF8aoXY9gtVVGqVfw  spotify:track:3D3JQJF8aoXY9gtVVGqVfw  https://api.spotify.com/v1/tracks/3D3JQJF8aoXY9gtVVGqVfw  https://api.spotify.com/v1/audio-analysis/3D3JQJF8aoXY9gtVVGqVfw       190976               4
49       0         0.465   0.610    1    -5.302     1       0.0317      0.625000          0.000083    0.1280   0.2350   83.664  audio_features  7F0fPQWt7E2jjreRSZOdna  spotify:track:7F0fPQWt7E2jjreRSZOdna  https://api.spotify.com/v1/tracks/7F0fPQWt7E2jjreRSZOdna  https://api.spotify.com/v1/audio-analysis/7F0fPQWt7E2jjreRSZOdna       166928               4
